Trial Response s1 s2 s3 invord i1 i2 i3
25 1 0.70 0.80 0.90 0 8 9 10
26 0 0.80 0.40 0.30 1 9 5 4
27 0 0.90 0.60 0.10 1 10 7 2
28 0 1.00 0.50 0.20 1 11 6 3
29 1 0.50 0.40 0.30 1 6 5 4
30 1 0.80 0.70 0.50 1 9 8 6
31 0 0.70 0.90 1.00 0 8 10 11
32 1 0.90 0.80 0.30 1 10 9 4
33 0 0.60 0.20 0.10 1 7 3 2
34 0 0.30 0.50 0.70 0 4 6 8
35 1 0.60 0.30 0.20 1 7 4 3
36 1 0.00 0.30 0.90 0 1 4 10
37 0 0.90 0.60 0.50 1 10 7 6
38 1 0.10 0.40 0.50 0 2 5 6
39 1 0.00 0.40 0.90 0 1 5 10
40 0 0.90 0.10 0.00 1 10 2 1
41 0 0.40 0.70 0.80 0 5 8 9
42 0 0.20 0.60 0.70 0 3 7 8
43 0 0.80 0.70 0.00 1 9 8 1
44 0 0.80 0.60 0.40 1 9 7 5
45 0 0.50 0.30 0.20 1 6 4 3
46 1 0.70 0.50 0.40 1 8 6 5
47 0 0.60 0.40 0.30 1 7 5 4
48 1 0.80 0.60 0.50 1 9 7 6
49 1 0.10 0.40 1.00 0 2 5 11
50 0 0.70 0.20 0.00 1 8 3 1
51 1 1.00 0.90 0.20 1 11 10 3
52 1 0.00 0.60 1.00 0 1 7 11
53 0 0.80 0.30 0.10 1 9 4 2
54 1 0.10 0.30 0.40 0 2 4 5
55 0 0.90 0.40 0.20 1 10 5 3
56 0 0.20 0.40 0.70 0 3 5 8
57 0 0.70 0.10 0.00 1 8 2 1
58 0 0.90 0.40 0.10 1 10 5 2
59 1 0.80 0.70 0.20 1 9 8 3
60 0 0.00 0.50 0.80 0 1 6 9
61 0 0.80 0.10 0.00 1 9 2 1
62 0 1.00 0.80 0.10 1 11 9 2
63 0 0.30 0.70 0.80 0 4 8 9
64 1 0.60 0.50 0.30 1 7 6 4
65 1 0.00 0.30 0.60 0 1 4 7
66 0 0.40 0.60 0.70 0 5 7 8
67 0 0.00 0.90 1.00 0 1 10 11
68 1 0.10 0.20 0.40 0 2 3 5
69 0 0.80 0.30 0.20 1 9 4 3
70 0 1.00 0.40 0.20 1 11 5 3
71 1 0.00 0.20 0.40 0 1 3 5
72 1 0.10 0.30 1.00 0 2 4 11
73 1 1.00 0.80 0.20 1 11 9 3
74 0 1.00 0.70 0.50 1 11 8 6
75 0 0.20 0.50 0.60 0 3 6 7
76 1 1.00 0.70 0.30 1 11 8 4
77 1 0.30 0.50 0.90 0 4 6 10
78 0 1.00 0.20 0.00 1 11 3 1
79 0 0.80 0.60 0.10 1 9 7 2
80 0 0.60 0.10 0.00 1 7 2 1
81 0 0.50 0.40 0.20 1 6 5 3
