Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 3 46 0 10.0 50.0 60.0 0 2 6 7 0 7 9 1.30446910858
0 3 47 1 60.0 40.0 10.0 1 7 5 2 1 4 11 2.32923579216
0 3 48 1 20.0 40.0 50.0 0 3 5 6 0 8 13 7.87173914909
0 3 49 1 0.0 20.0 40.0 0 1 3 5 1 5 14 1.19927597046
0 3 50 0 20.0 10.0 0.0 1 3 2 1 11 12 14 6.35498595238
0 3 51 0 60.0 20.0 10.0 1 7 3 2 0 12 13 1.07810401917
0 3 52 0 70.0 20.0 10.0 1 8 3 2 10 13 14 1.14834713936
0 3 53 1 70.0 60.0 20.0 1 8 7 3 1 4 6 1.03620815277
0 3 54 1 0.0 20.0 60.0 0 1 3 7 10 12 14 1.58873605728
0 3 55 0 0.0 60.0 70.0 0 1 7 8 1 2 11 1.03369092941
0 4 0 0 70.0 40.0 0.0 1 8 5 1 0 7 14 0.852982997894
0 4 1 0 50.0 20.0 10.0 1 6 3 2 0 3 14 1.18807601929
0 4 2 1 70.0 60.0 10.0 1 8 7 2 5 6 11 1.29426288605
0 4 3 1 0.0 20.0 70.0 0 1 3 8 2 4 12 0.720613002777
0 4 4 1 50.0 60.0 70.0 0 6 7 8 4 10 11 4.55518388748
0 4 5 0 70.0 50.0 40.0 1 8 6 5 8 10 12 0.502187013626
0 4 6 0 30.0 40.0 50.0 0 4 5 6 0 6 11 1.86324810982
0 4 7 1 0.0 10.0 40.0 0 1 2 5 1 8 12 1.41883611679
0 4 8 0 60.0 30.0 10.0 1 7 4 2 0 1 4 1.15219902992
0 4 9 1 10.0 20.0 30.0 0 2 3 4 4 11 13 1.70563697815
0 4 10 0 70.0 50.0 30.0 1 8 6 4 0 10 11 1.76007008553
0 4 11 0 60.0 40.0 30.0 1 7 5 4 3 6 7 1.64842796326
0 4 12 1 60.0 50.0 20.0 1 7 6 3 9 10 14 1.63495707512
0 4 13 0 60.0 40.0 0.0 1 7 5 1 0 8 10 7.27566599846
0 4 14 0 10.0 30.0 40.0 0 2 4 5 5 8 13 6.24708414078
0 4 15 0 30.0 10.0 0.0 1 4 2 1 2 5 8 1.22459292412
0 4 16 1 10.0 40.0 50.0 0 2 5 6 0 6 8 4.00844597816
0 4 17 0 50.0 10.0 0.0 1 6 2 1 0 4 14 1.25930404663
0 4 18 0 50.0 30.0 0.0 1 6 4 1 4 12 13 1.73402905464
0 4 19 0 70.0 50.0 20.0 1 8 6 3 2 8 12 1.21466588974
0 4 20 0 70.0 30.0 0.0 1 8 4 1 2 4 6 0.959285020828
0 4 21 1 60.0 50.0 0.0 1 7 6 1 0 2 7 2.45739197731
0 4 22 1 20.0 30.0 40.0 0 3 4 5 2 4 11 3.61296200752
0 4 23 0 0.0 30.0 40.0 0 1 4 5 5 6 14 6.09340000153
0 4 24 0 60.0 40.0 20.0 1 7 5 3 3 6 10 3.67976903915
0 4 25 0 70.0 50.0 0.0 1 8 6 1 0 2 10 0.738834857941
0 4 26 1 10.0 20.0 40.0 0 2 3 5 6 8 12 1.38719987869
0 4 27 0 70.0 40.0 20.0 1 8 5 3 4 5 12 1.03838920593
0 4 28 0 40.0 50.0 60.0 0 5 6 7 0 9 11 1.30457901955
0 4 29 1 0.0 20.0 50.0 0 1 3 6 1 2 6 1.64670014381
0 4 30 1 70.0 60.0 40.0 1 8 7 5 1 5 14 5.83367085457
0 4 31 1 0.0 10.0 70.0 0 1 2 8 0 5 6 0.994959115982
0 4 32 0 60.0 30.0 0.0 1 7 4 1 0 1 12 0.778521060944
0 4 33 1 20.0 30.0 60.0 0 3 4 7 6 7 13 0.724426984787
0 4 34 1 20.0 30.0 50.0 0 3 4 6 9 10 11 1.38398003578
0 4 35 0 70.0 40.0 30.0 1 8 5 4 9 10 12 1.25194001198
0 4 36 0 50.0 30.0 10.0 1 6 4 2 2 10 12 3.56616091728
0 4 37 1 60.0 50.0 30.0 1 7 6 4 1 9 13 3.80862879753
0 4 38 1 10.0 50.0 70.0 0 2 6 8 0 4 6 1.6184232235
0 4 39 0 60.0 10.0 0.0 1 7 2 1 0 4 12 1.43957519531
0 4 40 0 30.0 20.0 0.0 1 4 3 1 0 1 2 4.33750081062
0 4 41 1 10.0 40.0 70.0 0 2 5 8 1 8 11 0.686338186264
0 4 42 1 10.0 30.0 70.0 0 2 4 8 4 6 7 0.709311962128
0 4 43 1 20.0 30.0 70.0 0 3 4 8 6 13 14 0.747429847717
0 4 44 0 30.0 60.0 70.0 0 4 7 8 1 2 9 2.16381812096
0 4 45 1 50.0 40.0 0.0 1 6 5 1 0 5 13 3.70977520943
0 4 46 0 10.0 50.0 60.0 0 2 6 7 1 5 6 3.62414503098
0 4 47 0 60.0 40.0 10.0 1 7 5 2 2 11 14 4.03505992889
0 4 48 0 20.0 40.0 50.0 0 3 5 6 5 9 13 1.77029705048
0 4 49 1 0.0 20.0 40.0 0 1 3 5 0 1 7 3.54305791855
0 4 50 0 20.0 10.0 0.0 1 3 2 1 7 10 12 11.1380288601
0 4 51 0 60.0 20.0 10.0 1 7 3 2 0 6 9 1.40769577026
0 4 52 0 70.0 20.0 10.0 1 8 3 2 7 8 9 0.782986164093
0 4 53 1 70.0 60.0 20.0 1 8 7 3 3 6 14 1.36779522896
0 4 54 1 0.0 20.0 60.0 0 1 3 7 0 8 12 1.18196487427
0 4 55 0 0.0 60.0 70.0 0 1 7 8 1 4 14 0.924175977707
0 5 0 0 70.0 40.0 0.0 1 8 5 1 3 7 10 0.853998184204
0 5 1 0 50.0 20.0 10.0 1 6 3 2 3 5 8 1.48188018799
0 5 2 1 70.0 60.0 10.0 1 8 7 2 4 7 13 3.33002090454
0 5 3 1 0.0 20.0 70.0 0 1 3 8 8 9 14 1.25720906258
0 5 4 0 50.0 60.0 70.0 0 6 7 8 6 7 13 0.931096792221
0 5 5 0 70.0 50.0 40.0 1 8 6 5 7 8 10 2.26829099655
0 5 6 1 30.0 40.0 50.0 0 4 5 6 1 5 11 5.39838385582
0 5 7 1 0.0 10.0 40.0 0 1 2 5 6 12 14 2.17319107056
0 5 8 0 60.0 30.0 10.0 1 7 4 2 2 10 13 1.37174582481
0 5 9 1 10.0 20.0 30.0 0 2 3 4 0 1 14 2.76956796646
0 5 10 0 70.0 50.0 30.0 1 8 6 4 1 2 7 5.55384707451
0 5 11 0 60.0 40.0 30.0 1 7 5 4 7 13 14 1.62064790726
0 5 12 1 60.0 50.0 20.0 1 7 6 3 2 9 11 1.52926492691
0 5 13 0 60.0 40.0 0.0 1 7 5 1 0 5 8 4.95346999168
0 5 14 1 10.0 30.0 40.0 0 2 4 5 3 4 14 1.64236497879
0 5 15 0 30.0 10.0 0.0 1 4 2 1 6 8 14 1.04122495651
0 5 16 0 10.0 40.0 50.0 0 2 5 6 10 12 14 3.27519917488
0 5 17 0 50.0 10.0 0.0 1 6 2 1 6 10 12 1.94706606865
0 5 18 0 50.0 30.0 0.0 1 6 4 1 2 4 14 2.93984103203
0 5 19 0 70.0 50.0 20.0 1 8 6 3 2 4 6 2.16788887978
0 5 20 0 70.0 30.0 0.0 1 8 4 1 8 10 14 0.59502196312
0 5 21 1 60.0 50.0 0.0 1 7 6 1 0 1 4 1.98819208145
0 5 22 1 20.0 30.0 40.0 0 3 4 5 2 7 8 2.98912501335
0 5 23 1 0.0 30.0 40.0 0 1 4 5 0 8 12 2.60972905159
0 5 24 0 60.0 40.0 20.0 1 7 5 3 3 11 13 2.47917103767
0 5 25 0 70.0 50.0 0.0 1 8 6 1 8 9 12 1.05552887917
0 5 26 1 10.0 20.0 40.0 0 2 3 5 2 10 12 1.80932092667
0 5 27 0 70.0 40.0 20.0 1 8 5 3 12 13 14 0.785757064819
0 5 28 1 40.0 50.0 60.0 0 5 6 7 1 4 9 2.09871792793
0 5 29 1 0.0 20.0 50.0 0 1 3 6 4 5 12 1.18767118454
0 5 30 0 70.0 60.0 40.0 1 8 7 5 0 2 7 4.31146812439
0 5 31 1 0.0 10.0 70.0 0 1 2 8 3 8 10 0.865700960159
0 5 32 0 60.0 30.0 0.0 1 7 4 1 5 8 11 1.07499694824
0 5 33 1 20.0 30.0 60.0 0 3 4 7 6 8 13 1.08934521675
0 5 34 1 20.0 30.0 50.0 0 3 4 6 1 11 13 1.29961800575
0 5 35 0 70.0 40.0 30.0 1 8 5 4 2 7 10 0.673137903214
0 5 36 0 50.0 30.0 10.0 1 6 4 2 3 5 13 2.03008103371
0 5 37 1 60.0 50.0 30.0 1 7 6 4 3 7 11 1.54554796219
0 5 38 1 10.0 50.0 70.0 0 2 6 8 6 7 12 1.10807108879
0 5 39 0 60.0 10.0 0.0 1 7 2 1 5 9 11 0.891592979431
0 5 40 0 30.0 20.0 0.0 1 4 3 1 5 8 13 1.96028709412
0 5 41 1 10.0 40.0 70.0 0 2 5 8 1 5 7 0.78124499321
0 5 42 1 10.0 30.0 70.0 0 2 4 8 0 1 7 0.672986984253
0 5 43 1 20.0 30.0 70.0 0 3 4 8 7 10 14 0.745777130127
0 5 44 0 30.0 60.0 70.0 0 4 7 8 2 3 12 1.77486109734
0 5 45 1 50.0 40.0 0.0 1 6 5 1 0 6 12 1.65970492363
0 5 46 0 10.0 50.0 60.0 0 2 6 7 0 11 13 3.60666584969
0 5 47 0 60.0 40.0 10.0 1 7 5 2 3 12 14 4.10734200478
0 5 48 0 20.0 40.0 50.0 0 3 5 6 0 3 14 1.58701395988
0 5 49 1 0.0 20.0 40.0 0 1 3 5 3 5 11 2.21417713165
0 5 50 1 20.0 10.0 0.0 1 3 2 1 1 7 9 2.85730409622
0 5 51 0 60.0 20.0 10.0 1 7 3 2 0 10 14 0.857592105865
0 5 52 0 70.0 20.0 10.0 1 8 3 2 7 9 11 0.632839918137
0 5 53 1 70.0 60.0 20.0 1 8 7 3 4 5 13 2.7530901432
0 5 54 1 0.0 20.0 60.0 0 1 3 7 4 6 11 1.62481498718
0 5 55 0 0.0 60.0 70.0 0 1 7 8 2 11 13 0.81566286087
0 6 0 0 70.0 40.0 0.0 1 8 5 1 3 6 11 0.9628469944
