Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 4 14 0 50.0 40.0 0.0 1 6 5 1 0 7 12 7.1163380146
0 4 15 0 70.0 20.0 0.0 1 8 3 1 7 13 14 1.59844994545
0 4 16 0 40.0 60.0 70.0 0 5 7 8 5 8 12 3.14053893089
0 4 17 0 60.0 10.0 0.0 1 7 2 1 3 5 8 1.00000715256
0 4 18 0 60.0 40.0 10.0 1 7 5 2 9 11 12 7.41001987457
0 4 19 1 50.0 60.0 70.0 0 6 7 8 1 2 5 7.40420103073
0 4 20 1 0.0 40.0 70.0 0 1 5 8 2 8 11 3.42564606667
0 4 21 0 60.0 40.0 30.0 1 7 5 4 1 8 9 3.72757506371
0 4 22 0 60.0 20.0 0.0 1 7 3 1 1 3 9 1.4325940609
0 4 23 0 60.0 50.0 0.0 1 7 6 1 0 2 6 14.040004015
0 4 24 1 70.0 60.0 30.0 1 8 7 4 2 5 13 1.86625504494
0 4 25 1 10.0 30.0 50.0 0 2 4 6 2 4 7 1.27104306221
0 4 26 0 50.0 30.0 20.0 1 6 4 3 0 2 5 1.32726597786
0 4 27 1 0.0 20.0 40.0 0 1 3 5 1 10 12 1.4151031971
0 4 28 0 60.0 50.0 20.0 1 7 6 3 0 6 10 3.36327910423
0 4 29 1 70.0 60.0 20.0 1 8 7 3 0 4 10 7.46182990074
0 4 30 1 30.0 50.0 70.0 0 4 6 8 4 9 13 3.11348676682
0 4 31 0 10.0 60.0 70.0 0 2 7 8 1 4 5 4.5073299408
0 4 32 1 20.0 30.0 40.0 0 3 4 5 2 3 14 3.79764890671
0 4 33 0 40.0 20.0 10.0 1 5 3 2 3 7 9 1.77988910675
0 4 34 0 50.0 40.0 30.0 1 6 5 4 1 6 11 3.6043548584
0 4 35 0 50.0 20.0 0.0 1 6 3 1 2 12 14 1.39722585678
0 4 36 1 20.0 40.0 70.0 0 3 5 8 0 4 5 2.32193899155
0 4 37 0 10.0 40.0 50.0 0 2 5 6 0 1 14 4.56759619713
0 4 38 1 10.0 30.0 60.0 0 2 4 7 3 6 7 2.20713305473
0 4 39 1 10.0 20.0 70.0 0 2 3 8 7 12 14 1.1829020977
0 4 40 1 30.0 20.0 10.0 1 4 3 2 4 7 14 10.631606102
0 4 41 1 20.0 30.0 60.0 0 3 4 7 1 3 14 1.36725401878
0 4 42 1 10.0 30.0 70.0 0 2 4 8 2 5 12 0.84857416153
0 4 43 1 0.0 40.0 60.0 0 1 5 7 4 5 9 4.41675281525
0 4 44 0 70.0 50.0 0.0 1 8 6 1 4 12 13 3.86446094513
0 4 45 0 40.0 30.0 0.0 1 5 4 1 3 6 13 4.72206997871
0 4 46 1 60.0 50.0 30.0 1 7 6 4 3 7 8 10.7719159126
0 4 47 1 70.0 50.0 10.0 1 8 6 2 5 7 11 6.1502430439
0 4 48 0 50.0 10.0 0.0 1 6 2 1 8 9 12 1.94193577766
0 4 49 1 0.0 10.0 40.0 0 1 2 5 0 7 14 1.55118012428
0 4 50 1 20.0 40.0 50.0 0 3 5 6 0 12 13 2.96885704994
0 4 51 0 40.0 30.0 10.0 1 5 4 2 3 4 10 3.57377910614
0 4 52 1 0.0 30.0 50.0 0 1 4 6 3 10 12 0.886521100998
0 4 53 0 60.0 50.0 40.0 1 7 6 5 4 6 12 5.86950302124
0 4 54 1 10.0 40.0 70.0 0 2 5 8 1 3 10 0.960978031158
0 4 55 0 20.0 10.0 0.0 1 3 2 1 6 7 9 5.49530887604
0 5 0 1 30.0 40.0 70.0 0 4 5 8 2 9 14 1.07460188866
0 5 1 0 70.0 10.0 0.0 1 8 2 1 0 4 9 0.673240184784
0 5 2 1 0.0 20.0 30.0 0 1 3 4 3 4 5 1.44125390053
0 5 3 1 20.0 30.0 70.0 0 3 4 8 4 9 10 1.32802414894
0 5 4 0 70.0 30.0 0.0 1 8 4 1 1 13 14 1.0381629467
0 5 5 1 20.0 50.0 70.0 0 3 6 8 6 8 14 1.62034702301
0 5 6 0 50.0 20.0 10.0 1 6 3 2 3 4 11 1.25833392143
0 5 7 0 10.0 50.0 60.0 0 2 6 7 4 6 11 4.44825482368
0 5 8 1 10.0 20.0 60.0 0 2 3 7 2 6 7 1.47978401184
0 5 9 1 0.0 60.0 70.0 0 1 7 8 10 11 13 2.08415293694
0 5 10 1 0.0 30.0 60.0 0 1 4 7 1 4 5 1.36685013771
0 5 11 0 20.0 40.0 60.0 0 3 5 7 9 12 14 4.32987499237
0 5 12 0 30.0 10.0 0.0 1 4 2 1 0 4 7 1.58827590942
0 5 13 0 70.0 50.0 40.0 1 8 6 5 4 6 8 2.05916619301
0 5 14 0 50.0 40.0 0.0 1 6 5 1 2 3 10 1.59343385696
0 5 15 0 70.0 20.0 0.0 1 8 3 1 2 3 4 2.73823404312
0 5 16 0 40.0 60.0 70.0 0 5 7 8 5 13 14 2.05695605278
0 5 17 0 60.0 10.0 0.0 1 7 2 1 2 7 12 0.940630912781
0 5 18 0 60.0 40.0 10.0 1 7 5 2 2 13 14 2.12411808968
0 5 19 1 50.0 60.0 70.0 0 6 7 8 4 12 13 8.09005212784
0 5 20 1 0.0 40.0 70.0 0 1 5 8 1 5 12 3.97029900551
0 5 21 0 60.0 40.0 30.0 1 7 5 4 1 4 14 1.94277787209
0 5 22 0 60.0 20.0 0.0 1 7 3 1 0 10 11 1.33971905708
0 5 23 1 60.0 50.0 0.0 1 7 6 1 3 6 7 3.73237609863
0 5 24 1 70.0 60.0 30.0 1 8 7 4 10 11 12 13.2917160988
0 5 25 1 10.0 30.0 50.0 0 2 4 6 2 3 6 2.42413783073
0 5 26 0 50.0 30.0 20.0 1 6 4 3 2 9 12 1.2965490818
0 5 27 1 0.0 20.0 40.0 0 1 3 5 6 9 10 1.12043619156
0 5 28 1 60.0 50.0 20.0 1 7 6 3 0 5 13 3.56693100929
0 5 29 1 70.0 60.0 20.0 1 8 7 3 0 6 12 2.63116407394
0 5 30 1 30.0 50.0 70.0 0 4 6 8 1 8 12 2.53207707405
0 5 31 0 10.0 60.0 70.0 0 2 7 8 0 5 11 2.51793599129
0 5 32 1 20.0 30.0 40.0 0 3 4 5 1 7 10 1.38128590584
0 5 33 0 40.0 20.0 10.0 1 5 3 2 4 5 14 1.33622407913
0 5 34 0 50.0 40.0 30.0 1 6 5 4 2 3 7 2.02660393715
0 5 35 0 50.0 20.0 0.0 1 6 3 1 4 10 12 1.73102903366
0 5 36 1 20.0 40.0 70.0 0 3 5 8 2 7 11 1.17570114136
0 5 37 1 10.0 40.0 50.0 0 2 5 6 0 4 13 2.86218595505
0 5 38 1 10.0 30.0 60.0 0 2 4 7 2 4 11 1.50701403618
0 5 39 1 10.0 20.0 70.0 0 2 3 8 5 8 13 2.35605597496
0 5 40 0 30.0 20.0 10.0 1 4 3 2 6 11 12 3.75373196602
0 5 41 1 20.0 30.0 60.0 0 3 4 7 0 4 14 0.856266975403
0 5 42 1 10.0 30.0 70.0 0 2 4 8 1 12 13 0.961889028549
0 5 43 1 0.0 40.0 60.0 0 1 5 7 1 8 11 3.32123088837
0 5 44 0 70.0 50.0 0.0 1 8 6 1 1 2 5 3.32574510574
0 5 45 0 40.0 30.0 0.0 1 5 4 1 0 5 10 2.16842889786
0 5 46 1 60.0 50.0 30.0 1 7 6 4 4 6 7 1.81312799454
0 5 47 0 70.0 50.0 10.0 1 8 6 2 4 7 14 2.5568561554
0 5 48 0 50.0 10.0 0.0 1 6 2 1 1 2 13 2.53379297256
0 5 49 1 0.0 10.0 40.0 0 1 2 5 2 10 11 1.10962486267
0 5 50 1 20.0 40.0 50.0 0 3 5 6 6 8 10 1.87735295296
0 5 51 0 40.0 30.0 10.0 1 5 4 2 3 8 14 1.84190893173
0 5 52 1 0.0 30.0 50.0 0 1 4 6 3 13 14 1.33463096619
0 5 53 0 60.0 50.0 40.0 1 7 6 5 5 7 10 3.36581110954
0 5 54 1 10.0 40.0 70.0 0 2 5 8 5 9 14 0.997157096863
0 5 55 0 20.0 10.0 0.0 1 3 2 1 4 7 8 5.16657400131
0 6 0 1 30.0 40.0 70.0 0 4 5 8 8 11 13 1.07018303871
